K	CV
2	0.30033
2	0.30033
2	0.30034
2	0.30034
2	0.30040
2	0.30040
2	0.30042
2	0.30042
2	0.30043
2	0.30043
2	0.30044
2	0.30044
2	0.30056
2	0.30056
2	0.30057
2	0.30057
2	0.30061
2	0.30061
2	0.30067
2	0.30067
3	0.28184
3	0.28184
3	0.28184
3	0.28184
3	0.28206
3	0.28206
3	0.28287
3	0.28287
3	0.28294
3	0.28294
3	0.28295
3	0.28295
3	0.28317
3	0.28317
3	0.28322
3	0.28322
3	0.28324
3	0.28324
3	0.29241
3	0.29241
4	0.26870
4	0.26870
4	0.26876
4	0.26876
4	0.26888
4	0.26888
4	0.26914
4	0.26914
4	0.26918
4	0.26918
4	0.26930
4	0.26930
4	0.26932
4	0.26932
4	0.26933
4	0.26933
4	0.26947
4	0.26947
4	0.27517
4	0.27517
5	0.25782
5	0.25782
5	0.25793
5	0.25793
5	0.25796
5	0.25796
5	0.25804
5	0.25804
5	0.25812
5	0.25812
5	0.25815
5	0.25815
5	0.26093
5	0.26093
5	0.26098
5	0.26098
5	0.26108
5	0.26108
5	0.26132
5	0.26132
6	0.24934
6	0.24934
6	0.24945
6	0.24945
6	0.25105
6	0.25105
6	0.25106
6	0.25106
6	0.25107
6	0.25107
6	0.25143
6	0.25143
6	0.25343
6	0.25343
6	0.25357
6	0.25357
6	0.25460
6	0.25460
6	0.25477
6	0.25477
7	0.24256
7	0.24256
7	0.24260
7	0.24260
7	0.24289
7	0.24289
7	0.24618
7	0.24618
7	0.24751
7	0.24751
7	0.24805
7	0.24805
7	0.24834
7	0.24834
7	0.24999
7	0.24999
7	0.25096
7	0.25096
7	0.25277
7	0.25277
8	0.23949
8	0.23949
8	0.23950
8	0.23950
8	0.23966
8	0.23966
8	0.24520
8	0.24520
8	0.24527
8	0.24527
8	0.24828
8	0.24828
8	0.24843
8	0.24843
8	0.24848
8	0.24848
8	0.25027
8	0.25027
8	0.25274
8	0.25274
9	0.23711
9	0.23711
9	0.23722
9	0.23722
9	0.24110
9	0.24110
9	0.24119
9	0.24119
9	0.24195
9	0.24195
9	0.24211
9	0.24211
9	0.24224
9	0.24224
9	0.24491
9	0.24491
9	0.24743
9	0.24743
9	0.24788
9	0.24788
10	0.23354
10	0.23354
10	0.23449
10	0.23449
10	0.23630
10	0.23630
10	0.23674
10	0.23674
10	0.23977
10	0.23977
10	0.23980
10	0.23980
10	0.24004
10	0.24004
10	0.24195
10	0.24195
10	0.24470
10	0.24470
10	0.24576
10	0.24576
