K	CV
2	0.67534
2	0.67534
2	0.67679
2	0.67679
2	0.67697
2	0.67697
2	0.67743
2	0.67743
2	0.67774
2	0.67774
2	0.67780
2	0.67780
2	0.67794
2	0.67794
2	0.67970
2	0.67970
2	0.68048
2	0.68048
2	0.68071
2	0.68071
3	0.62038
3	0.62038
3	0.62094
3	0.62094
3	0.62103
3	0.62103
3	0.62159
3	0.62159
3	0.62245
3	0.62245
3	0.62258
3	0.62258
3	0.70498
3	0.70498
3	0.70713
3	0.70713
3	0.70789
3	0.70789
3	0.70835
3	0.70835
4	0.64364
4	0.64364
4	0.64460
4	0.64460
4	0.64790
4	0.64790
4	0.65523
4	0.65523
4	0.65528
4	0.65528
4	0.65698
4	0.65698
4	0.65793
4	0.65793
4	0.66084
4	0.66084
4	0.67314
4	0.67314
4	0.69941
4	0.69941
5	0.65717
5	0.65717
5	0.65733
5	0.65733
5	0.65754
5	0.65754
5	0.65966
5	0.65966
5	0.65982
5	0.65982
5	0.66154
5	0.66154
5	0.69258
5	0.69258
5	0.70023
5	0.70023
5	0.71638
5	0.71638
5	0.72692
5	0.72692
6	0.67530
6	0.67530
6	0.67796
6	0.67796
6	0.68431
6	0.68431
6	0.69027
6	0.69027
6	0.69215
6	0.69215
6	0.69220
6	0.69220
6	0.69506
6	0.69506
6	0.74160
6	0.74160
6	0.74349
6	0.74349
6	0.77509
6	0.77509
7	0.70808
7	0.70808
7	0.71119
7	0.71119
7	0.71447
7	0.71447
7	0.75288
7	0.75288
7	0.76511
7	0.76511
7	0.77316
7	0.77316
7	0.77726
7	0.77726
7	0.77973
7	0.77973
7	0.78333
7	0.78333
7	0.79742
7	0.79742
8	0.77258
8	0.77258
8	0.78043
8	0.78043
8	0.78612
8	0.78612
8	0.78641
8	0.78641
8	0.79639
8	0.79639
8	0.81148
8	0.81148
8	0.83473
8	0.83473
8	0.84351
8	0.84351
8	0.84901
8	0.84901
8	0.86337
8	0.86337
9	0.82835
9	0.82835
9	0.84909
9	0.84909
9	0.87078
9	0.87078
9	0.87166
9	0.87166
9	0.88604
9	0.88604
9	0.90404
9	0.90404
9	0.90561
9	0.90561
9	0.91571
9	0.91571
9	0.92306
9	0.92306
9	0.93355
9	0.93355
10	0.90094
10	0.90094
10	0.91368
10	0.91368
10	0.91657
10	0.91657
10	0.92711
10	0.92711
10	0.93146
10	0.93146
10	0.93171
10	0.93171
10	0.94211
10	0.94211
10	0.96433
10	0.96433
10	0.97535
10	0.97535
10	1.02638
10	1.02638
