isotype	trait	value
ECA738	main_island	Molokai
ECA740	main_island	Maui
ECA701	main_island	Kauai
ECA741	main_island	Maui
ECA743	main_island	Maui
ECA742	main_island	Big Island
ECA744	main_island	Big Island
ECA723	main_island	Big Island
ECA760	main_island	Big Island
ECA778	main_island	Big Island
ECA812	main_island	Big Island
ECA768	main_island	Big Island
ECA745	main_island	Big Island
ECA724	main_island	Big Island
ECA730	main_island	Big Island
ECA722	main_island	Big Island
ECA712	main_island	Big Island
ECA807	main_island	Big Island
ECA703	main_island	Big Island
ECA705	main_island	Big Island
ECA706	main_island	Big Island
ECA777	main_island	Big Island
ECA710	main_island	Big Island
ECA732	main_island	Big Island
ECA733	main_island	Big Island
ECA746	main_island	Big Island
CB4856	main_island	Oahu
DL238	main_island	Big Island
QX1791	main_island	Maui
ECA189	main_island	Big Island
QX1792	main_island	Maui
QX1793	main_island	Maui
QX1794	main_island	Maui
ECA191	main_island	Big Island
ECA363	main_island	Maui
ECA396	main_island	Big Island
ECA369	main_island	Molokai
ECA372	main_island	Kauai
XZ1513	main_island	Kauai
XZ1514	main_island	Kauai
XZ1515	main_island	Kauai
XZ1516	main_island	Kauai
ECA347	main_island	Big Island
ECA738	main_substrate	Flower
ECA740	main_substrate	Fruit/nut/veg
ECA701	main_substrate	Flower
ECA741	main_substrate	Fruit/nut/veg
ECA743	main_substrate	Flower
ECA742	main_substrate	Leaf litter
ECA744	main_substrate	Leaf litter
ECA723	main_substrate	Leaf litter
ECA760	main_substrate	Fruit/nut/veg
ECA778	main_substrate	Fruit/nut/veg
ECA812	main_substrate	Fruit/nut/veg
ECA768	main_substrate	Fruit/nut/veg
ECA745	main_substrate	Leaf litter
ECA724	main_substrate	Leaf litter
ECA730	main_substrate	Leaf litter
ECA722	main_substrate	Leaf litter
ECA712	main_substrate	Leaf litter
ECA807	main_substrate	Fruit/nut/veg
ECA703	main_substrate	Leaf litter
ECA705	main_substrate	Leaf litter
ECA706	main_substrate	Leaf litter
ECA777	main_substrate	Fruit/nut/veg
ECA710	main_substrate	Leaf litter
ECA732	main_substrate	Leaf litter
ECA733	main_substrate	Other
ECA746	main_substrate	Leaf litter
CB4856	main_substrate	Fruit/nut/veg
DL238	main_substrate	Leaf litter
QX1791	main_substrate	Other
ECA189	main_substrate	Compost
QX1792	main_substrate	Fruit/nut/veg
QX1793	main_substrate	Compost
QX1794	main_substrate	Compost
ECA191	main_substrate	Flower
ECA363	main_substrate	Leaf litter
ECA396	main_substrate	Fruit/nut/veg
ECA369	main_substrate	Leaf litter
ECA372	main_substrate	Leaf litter
XZ1513	main_substrate	Fruit/nut/veg
XZ1514	main_substrate	Fruit/nut/veg
XZ1515	main_substrate	Fruit/nut/veg
XZ1516	main_substrate	Fruit/nut/veg
ECA347	main_substrate	Leaf litter
ECA738	altitude	669
ECA740	altitude	1778.986667
ECA701	altitude	1163.896104
ECA741	altitude	1724.617647
ECA743	altitude	1043
ECA742	altitude	1170
ECA744	altitude	992.3670886
ECA723	altitude	1114.484375
ECA760	altitude	664.483475138462
ECA778	altitude	666.120682806667
ECA812	altitude	660.328917857143
ECA768	altitude	662.68775035
ECA745	altitude	789.2913386
ECA724	altitude	1206.792793
ECA730	altitude	1121.234234
ECA722	altitude	1119.574468
ECA712	altitude	1119.876923
ECA807	altitude	668.398601633333
ECA703	altitude	649.9944751
ECA705	altitude	649.9944751
ECA706	altitude	649.9944751
ECA777	altitude	655.4036697
