isotype	trait	value
ECA710	altitude	656.3305085
ECA732	altitude	655.7813765
ECA733	altitude	651.7065217
ECA746	altitude	640.3041958
CB4856	altitude	NaN
DL238	altitude	NaN
QX1791	altitude	610
ECA189	altitude	1131.57142857143
QX1792	altitude	882
QX1793	altitude	865
QX1794	altitude	865
ECA191	altitude	1123
ECA363	altitude	1653
ECA396	altitude	1141
ECA369	altitude	491
ECA372	altitude	1121
XZ1513	altitude	1263
XZ1514	altitude	979
XZ1515	altitude	979
XZ1516	altitude	979
ECA347	altitude	1226
ECA738	ambient_temperature	24.7
ECA740	ambient_temperature	19.2
ECA701	ambient_temperature	21.9
ECA741	ambient_temperature	18.5
ECA743	ambient_temperature	24.9
ECA742	ambient_temperature	22.9
ECA744	ambient_temperature	23.3333333333333
ECA723	ambient_temperature	20.5
ECA760	ambient_temperature	22.7076923076923
ECA778	ambient_temperature	22.75
ECA812	ambient_temperature	22.9333333333333
ECA768	ambient_temperature	21.9
ECA745	ambient_temperature	21.9
ECA724	ambient_temperature	23.3
ECA730	ambient_temperature	18.4
ECA722	ambient_temperature	18.5
ECA712	ambient_temperature	18.5
ECA807	ambient_temperature	23.4166666666667
ECA703	ambient_temperature	23.3
ECA705	ambient_temperature	23.3
ECA706	ambient_temperature	23.3
ECA777	ambient_temperature	NaN
ECA710	ambient_temperature	21.9
ECA732	ambient_temperature	26
ECA733	ambient_temperature	25.3888888888889
ECA746	ambient_temperature	23.3333333333333
CB4856	ambient_temperature	NaN
DL238	ambient_temperature	NaN
QX1791	ambient_temperature	NaN
ECA189	ambient_temperature	NaN
QX1792	ambient_temperature	NaN
QX1793	ambient_temperature	NaN
QX1794	ambient_temperature	NaN
ECA191	ambient_temperature	NaN
ECA363	ambient_temperature	NaN
ECA396	ambient_temperature	NaN
ECA369	ambient_temperature	NaN
ECA372	ambient_temperature	NaN
XZ1513	ambient_temperature	NaN
XZ1514	ambient_temperature	NaN
XZ1515	ambient_temperature	NaN
XZ1516	ambient_temperature	NaN
ECA347	ambient_temperature	NaN
ECA738	substrate_temperature	22.4
ECA740	substrate_temperature	16.9
ECA701	substrate_temperature	19.2
ECA741	substrate_temperature	18.2
ECA743	substrate_temperature	20.7
ECA742	substrate_temperature	18.2
ECA744	substrate_temperature	17.5
ECA723	substrate_temperature	18
ECA760	substrate_temperature	20.3615384615385
ECA778	substrate_temperature	20.5866666666667
ECA812	substrate_temperature	19.9238095238095
ECA768	substrate_temperature	21.7
ECA745	substrate_temperature	20.6
ECA724	substrate_temperature	18
ECA730	substrate_temperature	15
ECA722	substrate_temperature	14.7
ECA712	substrate_temperature	15.4
ECA807	substrate_temperature	20.8333333333333
ECA703	substrate_temperature	18.7
ECA705	substrate_temperature	18.7
ECA706	substrate_temperature	18.7
ECA777	substrate_temperature	21.5
ECA710	substrate_temperature	20.5
ECA732	substrate_temperature	23.3
ECA733	substrate_temperature	20.4
ECA746	substrate_temperature	18.5
CB4856	substrate_temperature	NaN
DL238	substrate_temperature	NaN
QX1791	substrate_temperature	NaN
ECA189	substrate_temperature	NaN
QX1792	substrate_temperature	NaN
QX1793	substrate_temperature	NaN
QX1794	substrate_temperature	NaN
ECA191	substrate_temperature	NaN
ECA363	substrate_temperature	NaN
ECA396	substrate_temperature	NaN
ECA369	substrate_temperature	NaN
ECA372	substrate_temperature	NaN
XZ1513	substrate_temperature	NaN
XZ1514	substrate_temperature	NaN
XZ1515	substrate_temperature	NaN
XZ1516	substrate_temperature	NaN
ECA347	substrate_temperature	NaN
ECA738	ambient_humidity	70.6
ECA740	ambient_humidity	80.4
ECA701	ambient_humidity	79.9
ECA741	ambient_humidity	90.1
ECA743	ambient_humidity	65.3
ECA742	ambient_humidity	67.3
ECA744	ambient_humidity	80
ECA723	ambient_humidity	82
ECA760	ambient_humidity	81.8461538461538
ECA778	ambient_humidity	80.8428571428571
ECA812	ambient_humidity	80.3428571428571
ECA768	ambient_humidity	87.6
ECA745	ambient_humidity	82.6
ECA724	ambient_humidity	68
ECA730	ambient_humidity	94
ECA722	ambient_humidity	94
ECA712	ambient_humidity	94
ECA807	ambient_humidity	78.2833333333333
ECA703	ambient_humidity	75
ECA705	ambient_humidity	75
ECA706	ambient_humidity	75
ECA777	ambient_humidity	NaN
ECA710	ambient_humidity	75.5
ECA732	ambient_humidity	75.5
ECA733	ambient_humidity	76.3
ECA746	ambient_humidity	85.6
CB4856	ambient_humidity	NaN
DL238	ambient_humidity	NaN
QX1791	ambient_humidity	NaN
ECA189	ambient_humidity	NaN
QX1792	ambient_humidity	NaN
QX1793	ambient_humidity	NaN
QX1794	ambient_humidity	NaN
ECA191	ambient_humidity	NaN
ECA363	ambient_humidity	NaN
ECA396	ambient_humidity	NaN
ECA369	ambient_humidity	NaN
ECA372	ambient_humidity	NaN
XZ1513	ambient_humidity	NaN
XZ1514	ambient_humidity	NaN
XZ1515	ambient_humidity	NaN
XZ1516	ambient_humidity	NaN
ECA347	ambient_humidity	NaN
ECA738	substrate_moisture	66.5
ECA740	substrate_moisture	73.5
ECA701	substrate_moisture	NaN
ECA741	substrate_moisture	68.5
ECA743	substrate_moisture	25.5
ECA742	substrate_moisture	30
ECA744	substrate_moisture	66.5
ECA723	substrate_moisture	70.5
ECA760	substrate_moisture	67.75
ECA778	substrate_moisture	69.2857142857143
ECA812	substrate_moisture	67.9
ECA768	substrate_moisture	69
ECA745	substrate_moisture	36
ECA724	substrate_moisture	64
ECA730	substrate_moisture	NaN
ECA722	substrate_moisture	70
ECA712	substrate_moisture	71.5
ECA807	substrate_moisture	NaN
ECA703	substrate_moisture	65
ECA705	substrate_moisture	65
ECA706	substrate_moisture	65
ECA777	substrate_moisture	NaN
ECA710	substrate_moisture	64
ECA732	substrate_moisture	62
ECA733	substrate_moisture	42
ECA746	substrate_moisture	53
CB4856	substrate_moisture	NaN
DL238	substrate_moisture	NaN
QX1791	substrate_moisture	NaN
ECA189	substrate_moisture	NaN
QX1792	substrate_moisture	NaN
QX1793	substrate_moisture	NaN
QX1794	substrate_moisture	NaN
ECA191	substrate_moisture	NaN
ECA363	substrate_moisture	NaN
ECA396	substrate_moisture	NaN
ECA369	substrate_moisture	NaN
ECA372	substrate_moisture	NaN
XZ1513	substrate_moisture	NaN
XZ1514	substrate_moisture	NaN
XZ1515	substrate_moisture	NaN
XZ1516	substrate_moisture	NaN
ECA347	substrate_moisture	NaN
ECA738	altitude_s	-0.887419962462382
ECA740	altitude_s	2.64770012728496
ECA701	altitude_s	0.688740555137863
ECA741	altitude_s	2.47454397994011
ECA743	altitude_s	0.303706879753559
ECA742	altitude_s	0.708180433126352
ECA744	altitude_s	0.142449607379009
ECA723	altitude_s	0.531372542484923
ECA760	altitude_s	-0.901804331435949
ECA778	altitude_s	-0.896590101489744
ECA812	altitude_s	-0.915035894792373
ECA768	altitude_s	-0.907523411641214
ECA745	altitude_s	-0.504312362749691
ECA724	altitude_s	0.825359265592648
ECA730	altitude_s	0.552869703543941
ECA722	altitude_s	0.547583629120419
ECA712	altitude_s	0.548546897219516
ECA807	altitude_s	-0.889335314701424
ECA703	altitude_s	-0.947949349785359
ECA705	altitude_s	-0.947949349785359
ECA706	altitude_s	-0.947949349785359
ECA777	altitude_s	-0.930721978440895
ECA710	altitude_s	-0.927770153379165
ECA732	altitude_s	-0.929519046066651
ECA733	altitude_s	-0.942496770479518
ECA746	altitude_s	-0.978811252947925
CB4856	altitude_s	NaN
DL238	altitude_s	NaN
QX1791	altitude_s	-1.07532499906864
ECA189	altitude_s	0.585791922600726
QX1792	altitude_s	-0.209050932002501
QX1793	altitude_s	-0.263193061194135
QX1794	altitude_s	-0.263193061194135
ECA191	altitude_s	0.558493370067129
ECA363	altitude_s	2.24645386839453
ECA396	altitude_s	0.615820330387683
ECA369	altitude_s	-1.45431990341008
ECA372	altitude_s	0.55212370780929
XZ1513	altitude_s	1.00436972811588
XZ1514	altitude_s	0.0998776875027027
XZ1515	altitude_s	0.0998776875027027
XZ1516	altitude_s	0.0998776875027027
ECA347	altitude_s	0.886530976345851
ECA738	ambient_temperature_s	1.10382078736057
ECA740	ambient_temperature_s	-1.39508396013643
ECA701	ambient_temperature_s	-0.168348902274265
ECA741	ambient_temperature_s	-1.71312638254513
ECA743	ambient_temperature_s	1.19469005090591
ECA742	ambient_temperature_s	0.285997415452461
ECA744	ambient_temperature_s	0.482880819800711
ECA723	ambient_temperature_s	-0.804433747091681
ECA760	ambient_temperature_s	0.198623123581938
ECA778	ambient_temperature_s	0.217845467793453
ECA812	ambient_temperature_s	0.301142292710019
ECA768	ambient_temperature_s	-0.168348902274265
ECA745	ambient_temperature_s	-0.168348902274265
ECA724	ambient_temperature_s	0.467735942543152
ECA730	ambient_temperature_s	-1.75856101431781
ECA722	ambient_temperature_s	-1.71312638254513
ECA712	ambient_temperature_s	-1.71312638254513
ECA807	ambient_temperature_s	0.520743012944604
ECA703	ambient_temperature_s	0.467735942543152
ECA705	ambient_temperature_s	0.467735942543152
ECA706	ambient_temperature_s	0.467735942543152
ECA777	ambient_temperature_s	NaN
ECA710	ambient_temperature_s	-0.168348902274265
ECA732	ambient_temperature_s	1.69447100040531
ECA733	ambient_temperature_s	1.41681491735009
ECA746	ambient_temperature_s	0.482880819800711
CB4856	ambient_temperature_s	NaN
DL238	ambient_temperature_s	NaN
QX1791	ambient_temperature_s	NaN
ECA189	ambient_temperature_s	NaN
QX1792	ambient_temperature_s	NaN
QX1793	ambient_temperature_s	NaN
QX1794	ambient_temperature_s	NaN
ECA191	ambient_temperature_s	NaN
ECA363	ambient_temperature_s	NaN
ECA396	ambient_temperature_s	NaN
ECA369	ambient_temperature_s	NaN
ECA372	ambient_temperature_s	NaN
XZ1513	ambient_temperature_s	NaN
XZ1514	ambient_temperature_s	NaN
XZ1515	ambient_temperature_s	NaN
XZ1516	ambient_temperature_s	NaN
ECA347	ambient_temperature_s	NaN
ECA738	substrate_temperature_s	1.47893158161145
ECA740	substrate_temperature_s	-1.04193489904934
ECA701	substrate_temperature_s	0.012245629226991
ECA741	substrate_temperature_s	-0.446093730893153
ECA743	substrate_temperature_s	0.699754669407207
ECA742	substrate_temperature_s	-0.446093730893153
ECA744	substrate_temperature_s	-0.766931282977253
ECA723	substrate_temperature_s	-0.537761602917181
ECA760	substrate_temperature_s	0.544624424443466
ECA778	substrate_temperature_s	0.647809541926924
ECA812	substrate_temperature_s	0.343996023218715
ECA768	substrate_temperature_s	1.15809402952735
ECA745	substrate_temperature_s	0.653920733395193
ECA724	substrate_temperature_s	-0.537761602917181
ECA730	substrate_temperature_s	-1.91277968327761
ECA722	substrate_temperature_s	-2.05028149131366
ECA712	substrate_temperature_s	-1.72944393922955
ECA807	substrate_temperature_s	0.760866584089892
ECA703	substrate_temperature_s	-0.216924050833081
ECA705	substrate_temperature_s	-0.216924050833081
ECA706	substrate_temperature_s	-0.216924050833081
ECA777	substrate_temperature_s	1.06642615750332
ECA710	substrate_temperature_s	0.608086797383178
ECA732	substrate_temperature_s	1.89143700571958
ECA733	substrate_temperature_s	0.562252861371163
ECA746	substrate_temperature_s	-0.308591922857109
CB4856	substrate_temperature_s	NaN
DL238	substrate_temperature_s	NaN
QX1791	substrate_temperature_s	NaN
ECA189	substrate_temperature_s	NaN
QX1792	substrate_temperature_s	NaN
QX1793	substrate_temperature_s	NaN
QX1794	substrate_temperature_s	NaN
ECA191	substrate_temperature_s	NaN
ECA363	substrate_temperature_s	NaN
ECA396	substrate_temperature_s	NaN
ECA369	substrate_temperature_s	NaN
ECA372	substrate_temperature_s	NaN
XZ1513	substrate_temperature_s	NaN
XZ1514	substrate_temperature_s	NaN
XZ1515	substrate_temperature_s	NaN
XZ1516	substrate_temperature_s	NaN
ECA347	substrate_temperature_s	NaN
ECA738	ambient_humidity_s	-1.15038339436483
ECA740	ambient_humidity_s	0.0749440180150118
ECA701	ambient_humidity_s	0.0124273133017549
ECA741	ambient_humidity_s	1.2877680894522
ECA743	ambient_humidity_s	-1.81306046432535
ECA742	ambient_humidity_s	-1.56299364547232
ECA744	ambient_humidity_s	0.0249306542444055
ECA723	ambient_humidity_s	0.274997473097433
ECA760	ambient_humidity_s	0.255761563954892
ECA778	ambient_humidity_s	0.130315956475324
ECA812	ambient_humidity_s	0.0677992517620673
ECA768	ambient_humidity_s	0.975184565885911
ECA745	ambient_humidity_s	0.350017518753341
ECA724	ambient_humidity_s	-1.47547025887376
ECA730	ambient_humidity_s	1.7753983862156
ECA722	ambient_humidity_s	1.7753983862156
ECA712	ambient_humidity_s	1.7753983862156
ECA807	ambient_humidity_s	-0.189710031937777
ECA703	ambient_humidity_s	-0.600236392888164
ECA705	ambient_humidity_s	-0.600236392888164
ECA706	ambient_humidity_s	-0.600236392888164
ECA777	ambient_humidity_s	NaN
ECA710	ambient_humidity_s	-0.537719688174907
ECA732	ambient_humidity_s	-0.537719688174907
ECA733	ambient_humidity_s	-0.437692960633696
ECA746	ambient_humidity_s	0.725117747032883
CB4856	ambient_humidity_s	NaN
DL238	ambient_humidity_s	NaN
QX1791	ambient_humidity_s	NaN
ECA189	ambient_humidity_s	NaN
QX1792	ambient_humidity_s	NaN
QX1793	ambient_humidity_s	NaN
QX1794	ambient_humidity_s	NaN
ECA191	ambient_humidity_s	NaN
ECA363	ambient_humidity_s	NaN
ECA396	ambient_humidity_s	NaN
ECA369	ambient_humidity_s	NaN
ECA372	ambient_humidity_s	NaN
XZ1513	ambient_humidity_s	NaN
XZ1514	ambient_humidity_s	NaN
XZ1515	ambient_humidity_s	NaN
XZ1516	ambient_humidity_s	NaN
ECA347	ambient_humidity_s	NaN
ECA738	substrate_moisture_s	0.423991529325294
ECA740	substrate_moisture_s	0.924087670922392
ECA701	substrate_moisture_s	NaN
ECA741	substrate_moisture_s	0.566876141210179
ECA743	substrate_moisture_s	-2.50514301431485
ECA742	substrate_moisture_s	-2.18365263757386
ECA744	substrate_moisture_s	0.423991529325294
ECA723	substrate_moisture_s	0.709760753095064
ECA760	substrate_moisture_s	0.513294411753348
ECA778	substrate_moisture_s	0.623009381593528
ECA812	substrate_moisture_s	0.524010757644714
ECA768	substrate_moisture_s	0.602597294181401
ECA745	substrate_moisture_s	-1.7549988019192
ECA724	substrate_moisture_s	0.245385764469188
ECA730	substrate_moisture_s	NaN
ECA722	substrate_moisture_s	0.674039600123843
ECA712	substrate_moisture_s	0.781203059037507
ECA807	substrate_moisture_s	NaN
ECA703	substrate_moisture_s	0.316828070411631
ECA705	substrate_moisture_s	0.316828070411631
ECA706	substrate_moisture_s	0.316828070411631
ECA777	substrate_moisture_s	NaN
ECA710	substrate_moisture_s	0.245385764469188
ECA732	substrate_moisture_s	0.102501152584303
ECA733	substrate_moisture_s	-1.32634496626455
ECA746	substrate_moisture_s	-0.54047960089768
CB4856	substrate_moisture_s	NaN
DL238	substrate_moisture_s	NaN
QX1791	substrate_moisture_s	NaN
ECA189	substrate_moisture_s	NaN
QX1792	substrate_moisture_s	NaN
QX1793	substrate_moisture_s	NaN
QX1794	substrate_moisture_s	NaN
ECA191	substrate_moisture_s	NaN
ECA363	substrate_moisture_s	NaN
ECA396	substrate_moisture_s	NaN
ECA369	substrate_moisture_s	NaN
ECA372	substrate_moisture_s	NaN
XZ1513	substrate_moisture_s	NaN
XZ1514	substrate_moisture_s	NaN
XZ1515	substrate_moisture_s	NaN
XZ1516	substrate_moisture_s	NaN
ECA347	substrate_moisture_s	NaN
