A	B	C	D	E	F	samples
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ED3005
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ED3011
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	ED3012
0.143293	0.335644	0.521033	1e-05	1e-05	1e-05	ED3017
1e-05	0.73918	1e-05	1e-05	1e-05	0.26078	ED3040
1e-05	0.558744	0.321373	1e-05	1e-05	0.119853	ED3046
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ED3048
1e-05	0.565851	0.314888	1e-05	1e-05	0.119231	ED3049
1e-05	0.65897	0.044131	1e-05	1e-05	0.296869	ED3052
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	ED3073
1e-05	0.877819	0.056366	1e-05	1e-05	0.065785	ED3077
0.481821	0.518139	1e-05	1e-05	1e-05	1e-05	EG4347
1e-05	0.580827	0.283414	1e-05	1e-05	0.135728	EG4349
0.052277	0.38857	0.128154	1e-05	1e-05	0.430978	EG4724
0.028249	0.258083	1e-05	1e-05	1e-05	0.713638	EG4725
0.111968	0.887992	1e-05	1e-05	1e-05	1e-05	EG4946
1e-05	0.975009	0.024951	1e-05	1e-05	1e-05	GXW1
0.338522	0.457549	0.203899	1e-05	1e-05	1e-05	JT11398
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	JU1088
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	JU1172
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU1200
0.67952	1e-05	0.32044	1e-05	1e-05	1e-05	JU1212
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU1213
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU1242
0.239066	1e-05	0.760894	1e-05	1e-05	1e-05	JU1246
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU1249
0.555094	0.444866	1e-05	1e-05	1e-05	1e-05	JU1395
1e-05	0.298917	0.448235	1e-05	1e-05	0.252817	JU1400
1e-05	0.723546	0.23662	1e-05	1e-05	0.039805	JU1409
0.117037	0.589963	0.29297	1e-05	1e-05	1e-05	JU1440
0.033609	0.116567	0.422852	1e-05	1e-05	0.426952	JU1491
1e-05	0.338914	0.661046	1e-05	1e-05	1e-05	JU1530
0.965136	0.034821	1e-05	1.3e-05	1e-05	1e-05	JU1543
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU1568
1e-05	1e-05	0.999941	1.9e-05	1e-05	1e-05	JU1580
0.182216	1e-05	0.817744	1e-05	1e-05	1e-05	JU1581
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU1586
0.461713	0.390841	0.089115	1e-05	1e-05	0.05831	JU1652
1e-05	0.038804	0.961156	1e-05	1e-05	1e-05	JU1666
0.654361	1e-05	0.345599	1e-05	1e-05	1e-05	JU1792
1e-05	1e-05	0.999941	1.9e-05	1e-05	1e-05	JU1793
0.1942	0.476634	0.329136	1e-05	1e-05	1e-05	JU1808
0.964696	0.035264	1e-05	1e-05	1e-05	1e-05	JU1896
0.05599	1e-05	0.94397	1e-05	1e-05	1e-05	JU1934
0.055497	1e-05	0.596211	0.181188	1e-05	0.167084	JU2001
1e-05	0.63067	0.258343	1e-05	1e-05	0.110958	JU2007
1e-05	0.999946	1e-05	1.4e-05	1e-05	1e-05	JU2016
0.088347	0.68027	0.010555	0.220808	1e-05	1e-05	JU2017
0.140941	1e-05	0.859019	1e-05	1e-05	1e-05	JU2106
0.048935	0.01493	0.849167	1e-05	1e-05	0.086949	JU2131
0.161478	1e-05	0.838482	1e-05	1e-05	1e-05	JU2141
0.727088	0.197049	1e-05	1e-05	1e-05	0.075833	JU2234
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU2250
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU2257
1e-05	1e-05	0.11129	1e-05	1e-05	0.88867	JU2316
1e-05	0.745712	0.191491	1e-05	1e-05	0.062767	JU2464
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	JU2466
1e-05	0.623119	0.376841	1e-05	1e-05	1e-05	JU2478
0.194368	0.76293	0.042672	1e-05	1e-05	1e-05	JU2513
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	JU2519
1e-05	0.138524	1e-05	1e-05	1e-05	0.861436	JU2522
1e-05	1e-05	0.020624	1e-05	1e-05	0.979336	JU2526
1e-05	0.462525	0.537435	1e-05	1e-05	1e-05	JU2534
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU2565
0.769659	0.090553	0.139753	1.5e-05	1e-05	1e-05	JU2566
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU2570
0.684946	1e-05	0.315014	1e-05	1e-05	1e-05	JU2572
0.840594	1e-05	0.159366	1e-05	1e-05	1e-05	JU2575
0.026702	0.233474	0.695794	0.044009	1e-05	1e-05	JU2576
1e-05	0.942324	1e-05	1e-05	1e-05	0.057636	JU2578
0.101531	0.022849	0.201159	1e-05	1e-05	0.674441	JU258
0.005183	0.702425	0.026397	0.265975	1e-05	1e-05	JU2581
1e-05	0.377459	0.061408	1e-05	1e-05	0.561103	JU2586
1e-05	0.746318	0.210141	1e-05	1e-05	0.043511	JU2587
0.803232	1e-05	0.106942	1e-05	1e-05	0.089795	JU2592
0.020559	0.673314	0.133379	0.172727	1e-05	1e-05	JU2593
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU2600
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU2610
1e-05	0.919928	1e-05	1e-05	1e-05	0.080032	JU2619
0.530148	0.030065	0.439752	1.4e-05	1e-05	1e-05	JU2800
1e-05	0.566026	1e-05	0.136233	1e-05	0.297711	JU2811
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU2825
1e-05	0.750254	0.05907	0.190646	1e-05	1e-05	JU2829
1.3e-05	0.438243	0.069169	0.26299	1e-05	0.229575	JU2838
1e-05	0.488299	0.511661	1e-05	1e-05	1e-05	JU2841
0.32116	0.649448	1e-05	1e-05	1e-05	0.029362	JU2853
1e-05	0.702673	0.180029	1e-05	1e-05	0.117268	JU2862
1e-05	0.687387	1e-05	0.312573	1e-05	1e-05	JU2866
1e-05	0.92098	1e-05	0.07898	1e-05	1e-05	JU2878
1e-05	0.449617	1e-05	0.550343	1e-05	1e-05	JU2879
0.410255	0.23689	0.352825	1e-05	1e-05	1e-05	JU2906
0.727371	0.272589	1e-05	1e-05	1e-05	1e-05	JU2907
1e-05	0.33914	0.66082	1e-05	1e-05	1e-05	JU310
0.797237	0.038833	0.163897	1e-05	1.3e-05	1e-05	JU311
0.278136	0.470796	1e-05	1.2e-05	1e-05	0.251036	JU3125
0.257003	0.403505	1e-05	1e-05	1e-05	0.339461	JU3127
0.148059	0.510932	0.319516	1e-05	1e-05	0.021474	JU3128
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU3132
0.074644	0.631484	0.263444	1e-05	1e-05	0.030408	JU3134
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	JU3135
