A	B	C	D	E	samples
0.169558	1e-05	1e-05	0.830412	1e-05	JU2106
0.33126	1e-05	1e-05	0.66871	1e-05	JU2131
1e-05	1e-05	1e-05	0.99996	1e-05	JU2141
0.055768	1e-05	1e-05	0.619416	0.324796	JU2234
0.141829	1e-05	1e-05	0.858141	1e-05	JU2250
1e-05	1e-05	1e-05	0.99996	1e-05	JU2257
0.935811	1e-05	1e-05	0.064159	1e-05	JU2316
0.131582	1e-05	1e-05	0.119778	0.74862	JU2464
1e-05	1e-05	1e-05	1e-05	0.99996	JU2466
1e-05	1e-05	1e-05	0.399542	0.600428	JU2478
1e-05	1e-05	1e-05	0.201482	0.798488	JU2513
0.99996	1e-05	1e-05	1e-05	1e-05	JU2519
0.846852	1.3e-05	1e-05	1e-05	0.153115	JU2522
0.99996	1e-05	1e-05	1e-05	1e-05	JU2526
1e-05	1e-05	1e-05	0.546434	0.453536	JU2534
1e-05	1e-05	1e-05	0.99996	1e-05	JU2565
1e-05	1e-05	1e-05	0.884508	0.115462	JU2566
0.161034	1e-05	1e-05	0.838936	1e-05	JU2570
1e-05	1e-05	1e-05	0.99996	1e-05	JU2572
1e-05	1e-05	1e-05	0.99996	1e-05	JU2575
0.031247	0.049408	1e-05	0.652303	0.267032	JU2576
0.053393	1e-05	1e-05	1e-05	0.946577	JU2578
0.709966	1e-05	1e-05	0.243906	0.046108	JU258
1e-05	0.275612	1e-05	0.015569	0.708799	JU2581
0.598367	1e-05	1e-05	1e-05	0.401603	JU2586
0.128714	1e-05	1e-05	0.108131	0.763135	JU2587
0.080304	1e-05	1e-05	0.919666	1e-05	JU2592
1.2e-05	0.180292	1e-05	0.125897	0.693789	JU2593
1e-05	1e-05	1e-05	0.99996	1e-05	JU2600
1e-05	1e-05	1e-05	0.99996	1e-05	JU2610
0.086588	1e-05	1e-05	1e-05	0.913382	JU2619
1e-05	1e-05	1e-05	0.941369	0.058601	JU2800
0.321517	0.134042	1e-05	1e-05	0.544422	JU2811
1e-05	1e-05	1e-05	0.99996	1e-05	JU2825
1e-05	0.2003	1e-05	0.02801	0.771671	JU2829
0.277547	0.26791	1e-05	1e-05	0.454524	JU2838
0.104977	1e-05	1e-05	0.378207	0.516796	JU2841
1e-05	1e-05	1e-05	0.22937	0.7706	JU2853
0.153935	1e-05	1e-05	0.118054	0.727991	JU2862
1e-05	0.324439	1e-05	1e-05	0.675531	JU2866
0.004241	0.086454	1e-05	1e-05	0.909285	JU2878
1e-05	0.558469	1e-05	1e-05	0.441501	JU2879
1e-05	1e-05	1e-05	0.685716	0.314254	JU2906
1e-05	1e-05	1e-05	0.517869	0.482101	JU2907
1e-05	1e-05	1e-05	0.669535	0.330435	JU310
1e-05	1e-05	1e-05	0.933109	0.066861	JU311
0.241081	1e-05	1e-05	0.188797	0.570103	JU3125
0.338205	1e-05	1e-05	0.177106	0.484669	JU3127
0.022958	1e-05	1e-05	0.463348	0.513673	JU3128
0.153533	1e-05	1e-05	0.846437	1e-05	JU3132
0.040476	1e-05	1e-05	0.288671	0.670834	JU3134
1e-05	1e-05	1e-05	1e-05	0.99996	JU3135
0.336397	1e-05	1e-05	0.431265	0.232318	JU3137
0.18968	1e-05	1e-05	0.81029	1e-05	JU3140
0.184935	1e-05	1e-05	0.146503	0.668541	JU3144
1e-05	1e-05	1e-05	0.529044	0.470926	JU323
1e-05	1e-05	1e-05	0.71283	0.28714	JU346
0.049266	0.007274	1e-05	0.213634	0.729815	JU360
1e-05	1e-05	1e-05	0.847256	0.152714	JU367
0.067144	1e-05	1e-05	0.932826	1e-05	JU393
1e-05	1e-05	1e-05	0.99996	1e-05	JU394
0.122279	1.2e-05	1e-05	0.877689	1e-05	JU397
1e-05	1e-05	1e-05	0.99996	1e-05	JU406
1e-05	1e-05	1e-05	0.82692	0.17305	JU440
1e-05	1e-05	1e-05	0.362576	0.637394	JU561
0.066839	1e-05	1e-05	0.340246	0.592895	JU642
0.071687	0.057161	1e-05	0.081991	0.789151	JU751
0.334484	0.036388	1e-05	1e-05	0.629108	JU774
0.99996	1e-05	1e-05	1e-05	1e-05	JU775
0.756099	1e-05	1e-05	1e-05	0.243871	JU778
0.886083	1e-05	1e-05	0.113887	1e-05	JU782
0.143992	1e-05	1e-05	0.855978	1e-05	JU792
1e-05	1e-05	1e-05	0.068704	0.931266	JU830
1e-05	1e-05	1e-05	0.779021	0.220949	JU847
1e-05	1e-05	1e-05	0.089478	0.910492	KR314
0.515717	1e-05	1e-05	1e-05	0.484253	LKC34
1e-05	1e-05	1e-05	0.867277	0.132693	LSJ1
0.186018	1e-05	1e-05	1e-05	0.813952	MY1
0.418422	1e-05	1e-05	0.012428	0.56913	MY10
1e-05	0.64895	1e-05	0.334831	0.016199	MY16
1e-05	0.00297	1e-05	0.354947	0.642063	MY18
1e-05	1e-05	1e-05	0.99996	1e-05	MY2147
1e-05	1e-05	1e-05	0.307382	0.692588	MY2212
1e-05	0.99996	1e-05	1e-05	1e-05	MY23
0.0792	1e-05	1e-05	0.767194	0.153586	MY2453
0.046568	1e-05	1e-05	0.266283	0.687129	MY2530
1e-05	1e-05	1e-05	0.217008	0.782962	MY2535
1e-05	1e-05	1e-05	0.99996	1e-05	MY2573
0.034071	1e-05	1e-05	1e-05	0.965899	MY2585
1e-05	1e-05	1e-05	1e-05	0.99996	MY2693
1e-05	1e-05	1e-05	1e-05	0.99996	MY2713
1e-05	1e-05	1e-05	0.21547	0.7845	MY2741
1e-05	1e-05	1e-05	1e-05	0.99996	MY518
1e-05	1e-05	1e-05	1e-05	0.99996	MY679
1e-05	1e-05	1e-05	0.938358	0.061612	MY772
1e-05	0.013058	1e-05	0.345407	0.641515	MY795
1e-05	1e-05	1e-05	0.408055	0.591915	MY920
1e-05	1e-05	1e-05	0.868817	0.131153	N2
0.136325	1e-05	1e-05	0.393488	0.470168	NIC1
1e-05	1e-05	1e-05	0.99996	1e-05	NIC1049
1e-05	1e-05	1e-05	0.99996	1e-05	NIC1107
