species	Big Island	Kauai	Maui	Molokai	Oahu	Total
C. briggsae	20	49	22	0	4	95
C. elegans	31	1	5	1	0	38
C. kamaaina	0	2	0	0	0	2
C. sp. 53	1	3	0	0	8	12
C. tropicalis	5	3	3	0	2	13
Chabertia ovina	1	0	0	0	0	1
Choriorhabditis sp.	0	1	2	0	0	3
Heterhabditis zealandica	1	0	0	0	0	1
Mesorhabditis sp.	1	0	0	0	0	1
No Nematode	124	407	129	23	29	712
Not genotyped	341	296	239	42	38	956
Oscheius sp.	25	19	7	1	6	58
Other PCR +	4	1	0	0	0	5
Panagrolaimus sp.	7	1	3	1	0	12
PCR -	272	246	111	22	32	683
Rhabditis terricola	3	0	1	0	0	4
Teratorhabditis sp.	0	0	1	0	0	1
Total	836	1029	523	90	119	2597
