INDV	N_SITES	MEAN_DEPTH
ECA744	2844413	15.0947
NIC195	2860455	28.4502
NIC527	2869471	20.1236
JU1409	2878808	24.5759
EG4946	2874166	28.6194
JU3167	2870276	15.5959
JU1586	2887313	22.3064
JU3144	2872899	8.90217
JU830	2867917	13.8412
JU3125	2854982	13.3222
JU561	2881725	9.21737
JU1792	2880242	12.9453
MY2535	2872479	24.9848
ECA928	2869747	22.0356
JU2526	2853835	13.2008
ECA743	2855982	14.0552
NIC275	2868748	16.4221
JU393	2877930	10.2175
JU3282	2873944	10.8784
ED3040	2866245	33.4837
JU2587	2873856	10.633
JU3226	2846330	11.8632
ECA701	2811344	30.9567
JU2907	2869680	13.5395
JU2250	2873466	11.7739
JU1213	2868048	34.0866
ECA640	2865843	14.3193
NIC277	2881177	9.03543
QG2827	2860065	30.0202
JU1491	2876438	35.3422
PX179	2884480	16.4786
QG2932	2865504	31.4153
NIC251	2850946	13.8494
WN2066	2875215	23.1474
CB4853	2874383	30.2378
QG2836	2868185	11.2005
NIC265	2874845	24.2721
JU1212	2858569	7.83899
NIC501	2867199	11.5274
ED3049	2873981	38.2518
JU2017	2870091	13.9276
PB303	2871262	18.1981
QG2824	2872047	11.5808
QG2832	2870834	34.1394
JU3137	2863123	12.0957
QX1212	2866707	55.5812
QX1791	2859133	36.1732
NIC276	2877102	11.8283
JU2513	2873244	10.0825
NIC511	2856502	14.8462
NIC207	2880942	8.31211
QG2075	2875679	25.7185
ED3005	2867662	16.5954
ECA369	2833698	12.994
DL238	2861326	44.4393
ECA724	2839815	46.0244
JU2800	2865403	32.2599
MY2573	2874436	26.8348
MY2453	2874719	33.6055
JU2586	2864894	15.7652
NIC526	2873895	10.7551
ED3012	2879548	12.2478
XZ1514	2821941	20.9703
DL226	2863436	22.1134
QG536	2866218	30.1407
XZ1734	2863354	12.0587
CX11314	2869178	16.6135
JU3224	2867581	6.97889
JU2007	2878219	32.6235
ED3046	2880184	35.6695
JU2841	2871988	13.1343
CX11264	2880253	41.9316
QG2874	2868454	12.1481
QX1792	2864738	35.4446
JU778	2874626	21.1006
JU2464	2866684	26.4891
JU258	2856650	27.6245
DL200	2875779	9.79615
JU3132	2866677	18.327
QG2837	2864742	15.3895
PB306	2868459	17.1899
CB4857	2874672	22.937
JU2866	2874135	18.4674
NIC522	2880886	9.25584
XZ1672	2870830	7.26516
JU2853	2879226	13.8484
JU1580	2888220	42.2463
JU3291	2864467	12.2503
NIC259	2870888	16.679
JU323	2872968	21.9565
JU792	2867668	35.3425
XZ1735	2869297	9.295
NIC166	2862084	7.98999
ECA252	2849618	12.7799
QG2838	2860420	15.8009
CX11292	2885475	28.277
MY2212	2869620	12.6608
ECA807	2851790	40.6032
CX11262	2858700	13.135
JU775	2885669	23.4443
MY2693	2873643	24.1318
ECA733	2852971	32.2166
MY518	2874009	8.55954
XZ2020	2878946	7.77269
MY2147	2863855	20.3492
ECA723	2846404	45.715
JU2592	2874133	11.6172
ED3077	2871054	33.7471
ECA372	2856599	18.6246
WN2002	2874590	10.6661
JU360	2874125	28.7419
NIC258	2848138	12.4783
MY795	2865698	31.3604
QG2846	2862102	36.8191
ED3017	2887680	31.4815
JU2570	2868550	16.7074
QX1794	2861143	26.7427
JU3141	2867963	14.9316
NIC529	2875595	12.4138
QG2811	2866895	25.08
ECA768	2856421	28.5188
ECA347	2857601	21.4995
JU847	2862925	8.19236
ECA592	2874285	16.7683
NIC1107	2877290	14.9237
ECA742	2839035	18.6902
JU2578	2866660	12.3577
NIC271	2858131	10.4591
JU1666	2861239	25.1088
WN2050	2866328	29.5217
JU2141	2874525	11.8787
JU397	2876455	13.0127
XZ1515	2861874	13.9385
BRC20263	2868841	16.086
ED3073	2879021	28.6868
ECA760	2858621	40.1065
JU2576	2870088	17.6739
JU2619	2867421	14.8908
JU1088	2868856	10.0192
JU310	2886813	28.1826
NIC231	2874988	20.5062
ECA705	2853664	30.4239
JU2466	2863500	15.2478
JU2478	2873251	15.8363
QG2823	2856321	27.1391
NIC514	2868382	10.5087
QX1233	2884132	16.7569
CX11307	2867824	15.1833
CB4851	2884694	22.1862
CX11254	2871148	12.9561
JU1200	2883536	23.6091
XZ2018	2866526	7.03347
QG2841	2867475	32.4274
ECA349	2874440	20.7537
JU2565	2885430	7.05337
JU2572	2861674	16.7922
ECA396	2871702	47.6626
JU2131	2862086	11.3957
JU1934	2876002	15.014
MY2713	2873841	25.6011
JU1896	2875059	18.8926
JU3134	2860571	13.6128
MY920	2875999	28.4327
CB4858	2875075	39.6011
JU2316	2869291	22.3768
JU1530	2875706	34.3378
JU1808	2873470	12.8777
JU2581	2872454	10.8932
CB4856	2860179	32.3462
ECA923	2856472	27.0976
JU2534	2872699	17.9158
JU3128	2865029	7.65933
QW947	2866501	10.2917
QG2828	2866089	13.2576
JU2522	2867418	12.4526
JU1249	2859565	6.61633
JU2862	2873158	14.7505
NIC1	2881091	18.0776
ECA730	2842636	15.3379
QG557	2862024	11.2332
GXW1	2876167	20.6665
QG556	2857768	22.5535
NIC236	2869151	16.249
EG4347	2882670	6.89138
NIC261	2854316	14.0356
CX11285	2872870	38.8645
ECA930	2860151	9.15071
ECA741	2837683	17.1059
JU3140	2870524	18.7235
JU2519	2874883	18.155
JU782	2880895	41.8134
ECA191	2842913	21.552
LKC34	2877861	18.1053
PS2025	2860020	23.0455
ECA777	2859115	15.0763
NIC199	2849786	27.3392
RC301	2863070	35.7724
QG2855	2867274	12.7167
NIC267	2880848	19.79
ECA712	2853026	40.2302
JU3166	2876619	19.2795
EG4349	2862978	12.9684
QG2875	2858023	27.7894
CB4855	2877339	19.0217
XZ1756	2862581	8.78654
JU2234	2879523	13.6078
JU2906	2885498	7.33972
CX11271	2880547	19.7135
CB4932	2883290	28.9685
ECA593	2876001	18.2142
ECA746	2844989	18.1798
N2	2882791	5.99768
MY10	2865482	25.3828
JU406	2877263	9.68187
ED3052	2869067	16.3111
JU2878	2865153	27.1258
KR314	2863939	13.6748
JU1793	2862342	40.1095
ECA189	2874014	41.1998
MY2585	2876022	19.4588
QG2843	2873518	10.1613
XZ1516	2786759	19.9709
JU2593	2866388	19.3155
ECA594	2877525	17.3776
BRC20067	2878993	19.1003
JU2600	2856527	33.3956
XZ1513	2861606	16.3147
EG4725	2876754	19.961
QG2818	2875113	12.6721
JU774	2878483	25.2689
JU1543	2844715	7.96917
NIC272	2873992	22.3195
WN2063	2881448	13.6215
ECA363	2837773	24.4494
ECA703	2855629	12.8632
MY772	2877065	16.8626
QG2854	2863522	34.1083
NIC523	2870073	15.5974
ECA36	2834904	17.3711
NIC252	2869077	20.1294
JU2811	2866532	14.9592
QG2857	2863944	10.9549
NIC242	2879498	7.63769
MY2530	2889617	10.969
JU394	2872936	8.48128
NIC515	2863438	13.8583
NIC262	2864887	11.4131
JU1400	2878931	28.0544
NIC269	2864628	14.2027
JT11398	2888482	15.1412
MY1	2884070	33.0029
JU3135	2865426	7.16424
ECA740	2838403	15.7451
ECA738	2853799	39.8143
QG2877	2859962	28.0427
CX11315	2863020	12.9678
JU3228	2853622	21.3143
LSJ1	2885226	12.862
JU3280	2869665	10.5108
NIC528	2866678	22.5662
AB1	2879887	13.5753
ECA778	2861185	41.2598
JU440	2870290	16.018
JU751	2869269	17.6844
NIC268	2861351	12.6909
ED3048	2878020	10.2308
WN2001	2866890	32.6104
CX11276	2874025	11.0729
JU346	2884162	29.6523
CB4852	2885249	23.613
QG2825	2872742	11.3731
NIC1119	2864200	15.2898
ECA710	2854389	16.627
JU3225	2868630	7.03936
QG2873	2863682	28.2984
ECA812	2854451	40.7249
JU1242	2872794	12.4291
NIC266	2866234	10.3373
JU1172	2864351	11.2271
XZ2019	2865098	15.0095
QG2813	2856257	23.4641
JU2575	2878076	10.4713
JU2829	2867043	34.5425
MY2741	2866676	29.1213
MY23	2870081	37.5688
NIC260	2868082	24.6745
QG2850	2866393	25.647
JU2257	2876037	14.8199
JU1440	2870294	23.3437
NIC274	2875249	19.961
MY18	2875304	30.4616
MY16	2870246	24.4316
JU1395	2868658	22.3411
JU2825	2850347	14.2106
QG2835	2858504	25.8365
MY679	2872913	13.4428
JU2106	2869142	16.6783
JU2838	2863914	20.0375
ECA732	2853349	14.4151
ECA348	2866004	21.6403
QX1211	2840886	56.0326
JU3169	2877450	15.6857
JU2566	2887779	10.8558
ECA722	2843441	20.0386
NIC256	2858231	16.0449
WN2064	2869864	8.02646
WN2033	2858172	28.0416
CB4854	2873042	8.39268
ECA745	2843712	37.3699
ED3011	2867263	10.0781
JU2001	2864646	36.2458
JU3127	2856930	9.56151
ECA706	2861161	16.0209
JU1652	2857545	7.87563
JU2879	2869091	25.0047
NIC2	2892695	13.5786
NIC513	2863313	26.8942
JU2610	2871641	17.1896
NIC3	2871453	34.2146
JU1568	2883340	7.89465
NIC255	2879472	7.81153
JU1581	2889393	37.3753
NIC1049	2876900	10.8289
QX1793	2864489	25.8374
JU311	2884163	25.1348
JU2016	2864959	12.4002
JU642	2887093	20.268
JU367	2890838	9.11601
JU1246	2874562	11.1823
EG4724	2882360	35.7956
