strain	trait	value
ECA348	q10.temp-12mo	12.3030470914127
ECA348	q25.temp-12mo	13.1960526315789
ECA348	mean.temp-12mo	15.3491245363365
ECA348	median.temp-12mo	14.9547091412742
ECA348	q75.temp-12mo	17.3493767313019
ECA348	q90.temp-12mo	19.0713019390582
ECA348	max.temp-12mo	20.0941828254848
ECA349	min.temp-12mo	15.9299168975069
ECA349	q10.temp-12mo	16.3867867036011
ECA349	q25.temp-12mo	17.1402354570637
ECA349	mean.temp-12mo	18.965317633037
ECA349	median.temp-12mo	18.709972299169
ECA349	q75.temp-12mo	20.7415512465374
ECA349	q90.temp-12mo	21.7920221606648
ECA349	max.temp-12mo	22.5581717451524
ECA36	min.temp-12mo	12.8681440443213
ECA36	q10.temp-12mo	13.356620498615
ECA36	q25.temp-12mo	14.0641274238227
ECA36	mean.temp-12mo	15.6449142593325
ECA36	median.temp-12mo	15.4772853185596
ECA36	q75.temp-12mo	17.0957063711911
ECA36	q90.temp-12mo	18.1987534626039
ECA36	max.temp-12mo	18.7836565096953
ECA363	min.temp-12mo	20.6905817174515
ECA363	q10.temp-12mo	21.4937950138504
ECA363	q25.temp-12mo	22.3689058171745
ECA363	mean.temp-12mo	24.6966727883329
ECA363	median.temp-12mo	24.1315789473684
ECA363	q75.temp-12mo	27.1873268698061
ECA363	q90.temp-12mo	28.6618559556787
ECA363	max.temp-12mo	29.4052631578947
ECA369	min.temp-12mo	20.9373961218837
ECA369	q10.temp-12mo	21.6761495844875
ECA369	q25.temp-12mo	22.4370498614958
ECA369	mean.temp-12mo	24.0672325500395
ECA369	median.temp-12mo	23.5936288088643
ECA369	q75.temp-12mo	25.8158587257618
ECA369	q90.temp-12mo	26.9685872576177
ECA369	max.temp-12mo	27.7761772853186
ECA372	min.temp-12mo	21.5628895184136
ECA372	q10.temp-12mo	22.2350991501416
ECA372	q25.temp-12mo	23.0838526912181
ECA372	mean.temp-12mo	25.2364478792736
ECA372	median.temp-12mo	25.2759206798867
ECA372	q75.temp-12mo	27.3580028328612
ECA372	q90.temp-12mo	28.2123796033994
ECA372	max.temp-12mo	28.8549575070822
ECA396	min.temp-12mo	18.1315789473684
ECA396	q10.temp-12mo	18.7114404432133
ECA396	q25.temp-12mo	19.3549861495845
ECA396	mean.temp-12mo	21.4680723978023
ECA396	median.temp-12mo	20.9293628808864
ECA396	q75.temp-12mo	23.6653047091413
ECA396	q90.temp-12mo	24.7340166204986
ECA396	max.temp-12mo	25.7138504155125
ED3005	min.temp-12mo	6.33491620111732
ED3005	q10.temp-12mo	7.0558938547486
ED3005	q25.temp-12mo	7.92409217877095
ED3005	mean.temp-12mo	9.47208621772408
ED3005	median.temp-12mo	9.45111731843575
ED3005	q75.temp-12mo	11.0268156424581
ED3005	q90.temp-12mo	11.9463407821229
ED3005	max.temp-12mo	12.645251396648
ED3011	min.temp-12mo	6.26145251396648
ED3011	q10.temp-12mo	6.99321229050279
ED3011	q25.temp-12mo	7.88268156424581
ED3011	mean.temp-12mo	9.43652810396917
ED3011	median.temp-12mo	9.43421787709497
ED3011	q75.temp-12mo	11.0011173184358
ED3011	q90.temp-12mo	11.9027653631285
ED3011	max.temp-12mo	12.6002793296089
ED3012	min.temp-12mo	6.20279329608939
ED3012	q10.temp-12mo	6.91072625698324
ED3012	q25.temp-12mo	7.80069832402235
ED3012	mean.temp-12mo	9.35164990781911
ED3012	median.temp-12mo	9.34064245810056
ED3012	q75.temp-12mo	10.9159217877095
ED3012	q90.temp-12mo	11.8130726256983
ED3012	max.temp-12mo	12.5162011173184
ED3017	min.temp-12mo	6.1731843575419
ED3017	q10.temp-12mo	6.87723463687151
ED3017	q25.temp-12mo	7.75516759776536
ED3017	mean.temp-12mo	9.29869721168114
ED3017	median.temp-12mo	9.2854748603352
ED3017	q75.temp-12mo	10.8582402234637
ED3017	q90.temp-12mo	11.7482122905028
ED3017	max.temp-12mo	12.4477653631285
ED3040	min.temp-12mo	NA
ED3040	q10.temp-12mo	9.59467455621302
ED3040	q25.temp-12mo	10.8150887573964
ED3040	mean.temp-12mo	14.6111400329434
ED3040	median.temp-12mo	13.7618343195266
ED3040	q75.temp-12mo	18.5931952662722
ED3040	q90.temp-12mo	20.5600591715976
ED3040	max.temp-12mo	NA
ED3046	min.temp-12mo	12.8562326869806
ED3046	q10.temp-12mo	13.3963434903047
ED3046	q25.temp-12mo	14.2065096952909
ED3046	mean.temp-12mo	17.3509926131117
ED3046	median.temp-12mo	16.4524930747922
ED3046	q75.temp-12mo	19.6291551246537
ED3046	q90.temp-12mo	21.9991966759003
ED3046	max.temp-12mo	23.5792243767313
ED3048	min.temp-12mo	12.8168975069252
ED3048	q10.temp-12mo	13.3700554016621
ED3048	q25.temp-12mo	14.1997922437673
