strain	trait	value
NIC526	mean.temp-12mo	17.8739673749878
NIC526	median.temp-12mo	17.7825484764543
NIC526	q75.temp-12mo	19.9951523545706
NIC526	q90.temp-12mo	21.0869806094183
NIC526	max.temp-12mo	21.7368421052632
NIC527	min.temp-12mo	13.9196675900277
NIC527	q10.temp-12mo	14.7565096952909
NIC527	q25.temp-12mo	15.8628808864266
NIC527	mean.temp-12mo	17.8739673749878
NIC527	median.temp-12mo	17.7825484764543
NIC527	q75.temp-12mo	19.9951523545706
NIC527	q90.temp-12mo	21.0869806094183
NIC527	max.temp-12mo	21.7368421052632
NIC528	min.temp-12mo	13.9196675900277
NIC528	q10.temp-12mo	14.7565096952909
NIC528	q25.temp-12mo	15.8628808864266
NIC528	mean.temp-12mo	17.8739673749878
NIC528	median.temp-12mo	17.7825484764543
NIC528	q75.temp-12mo	19.9951523545706
NIC528	q90.temp-12mo	21.0869806094183
NIC528	max.temp-12mo	21.7368421052632
NIC529	min.temp-12mo	11.0808864265928
NIC529	q10.temp-12mo	12.1373130193906
NIC529	q25.temp-12mo	14.114265927977801
NIC529	mean.temp-12mo	18.3751434057773
NIC529	median.temp-12mo	18.5263157894737
NIC529	q75.temp-12mo	22.6750692520776
NIC529	q90.temp-12mo	24.2647922437673
NIC529	max.temp-12mo	25.4307479224377
PX179	min.temp-12mo	5.54210526315789
PX179	q10.temp-12mo	6.55991689750693
PX179	q25.temp-12mo	7.89819944598338
PX179	mean.temp-12mo	11.0879812452082
PX179	median.temp-12mo	10.6587257617729
PX179	q75.temp-12mo	14.176108033241
PX179	q90.temp-12mo	16.3886703601108
PX179	max.temp-12mo	17.218836565097
QG2075	min.temp-12mo	10.7473684210526
QG2075	q10.temp-12mo	11.5752354570637
QG2075	q25.temp-12mo	12.6611495844875
QG2075	mean.temp-12mo	15.7671518956962
QG2075	median.temp-12mo	15.3445983379501
QG2075	q75.temp-12mo	18.76391966759
QG2075	q90.temp-12mo	20.7268144044321
QG2075	max.temp-12mo	21.8473684210526
QG536	min.temp-12mo	10.1888579387187
QG536	q10.temp-12mo	10.5666573816156
QG536	q25.temp-12mo	11.0486072423398
QG536	mean.temp-12mo	12.0395321166005
QG536	median.temp-12mo	11.9986072423398
QG536	q75.temp-12mo	12.9554317548747
QG536	q90.temp-12mo	13.5903899721448
QG536	max.temp-12mo	14.1690807799443
QG556	min.temp-12mo	11.7116991643454
QG556	q10.temp-12mo	12.3139554317549
QG556	q25.temp-12mo	12.9299442896936
QG556	mean.temp-12mo	14.2036825474787
QG556	median.temp-12mo	14.0597493036212
QG556	q75.temp-12mo	15.3426880222841
QG556	q90.temp-12mo	16.3315598885794
QG556	max.temp-12mo	17.2986072423398
QG557	min.temp-12mo	11.7116991643454
QG557	q10.temp-12mo	12.3139554317549
QG557	q25.temp-12mo	12.9299442896936
QG557	mean.temp-12mo	14.2036825474787
QG557	median.temp-12mo	14.0597493036212
QG557	q75.temp-12mo	15.3426880222841
QG557	q90.temp-12mo	16.3315598885794
QG557	max.temp-12mo	17.2986072423398
QW947	min.temp-12mo	9.06565096952909
QW947	q10.temp-12mo	9.78091412742382
QW947	q25.temp-12mo	11.0409972299169
QW947	mean.temp-12mo	15.1882304445324
QW947	median.temp-12mo	14.5047091412742
QW947	q75.temp-12mo	18.8997229916897
QW947	q90.temp-12mo	21.7105817174515
QW947	max.temp-12mo	22.5504155124654
QX1211	min.temp-12mo	10.1506925207756
QX1211	q10.temp-12mo	10.5594459833795
QX1211	q25.temp-12mo	11.0466066481994
QX1211	mean.temp-12mo	12.0622645738312
QX1211	median.temp-12mo	12.0216066481994
QX1211	q75.temp-12mo	13.0062326869806
QX1211	q90.temp-12mo	13.6413573407202
QX1211	max.temp-12mo	14.2315789473684
QX1212	min.temp-12mo	10.1506925207756
QX1212	q10.temp-12mo	10.5594459833795
QX1212	q25.temp-12mo	11.0466066481994
QX1212	mean.temp-12mo	12.0622645738312
QX1212	median.temp-12mo	12.0216066481994
QX1212	q75.temp-12mo	13.0062326869806
QX1212	q90.temp-12mo	13.6413573407202
QX1212	max.temp-12mo	14.2315789473684
QX1233	min.temp-12mo	11.0952908587258
QX1233	q10.temp-12mo	11.4719113573407
QX1233	q25.temp-12mo	12.0175207756233
QX1233	mean.temp-12mo	13.4293352185545
QX1233	median.temp-12mo	13.1835180055402
QX1233	q75.temp-12mo	14.7528393351801
QX1233	q90.temp-12mo	15.7891135734072
QX1233	max.temp-12mo	16.5484764542936
QX1791	min.temp-12mo	19.8229916897507
QX1791	q10.temp-12mo	20.6790304709141
QX1791	q25.temp-12mo	21.644459833795
QX1791	mean.temp-12mo	24.0121728663736
QX1791	median.temp-12mo	23.4181440443213
QX1791	q75.temp-12mo	26.6622576177285
QX1791	q90.temp-12mo	27.9912742382271
QX1791	max.temp-12mo	28.6864265927978
QX1792	min.temp-12mo	19.8152354570637
QX1792	q10.temp-12mo	20.6710526315789
QX1792	q25.temp-12mo	21.6376038781163
QX1792	mean.temp-12mo	24.0109560084393
QX1792	median.temp-12mo	23.4189750692521
QX1792	q75.temp-12mo	26.6653047091413
QX1792	q90.temp-12mo	27.9939058171745
QX1792	max.temp-12mo	28.6897506925208
QX1793	min.temp-12mo	19.8152354570637
QX1793	q10.temp-12mo	20.6710526315789
QX1793	q25.temp-12mo	21.6376038781163
QX1793	mean.temp-12mo	24.0109560084393
QX1793	median.temp-12mo	23.4189750692521
QX1793	q75.temp-12mo	26.6653047091413
QX1793	q90.temp-12mo	27.9939058171745
QX1793	max.temp-12mo	28.6897506925208
QX1794	min.temp-12mo	19.8152354570637
QX1794	q10.temp-12mo	20.6710526315789
QX1794	q25.temp-12mo	21.6376038781163
QX1794	mean.temp-12mo	24.0109560084393
QX1794	median.temp-12mo	23.4189750692521
QX1794	q75.temp-12mo	26.6653047091413
QX1794	q90.temp-12mo	27.9939058171745
QX1794	max.temp-12mo	28.6897506925208
WN2001	min.temp-12mo	7.33961218836565
WN2001	q10.temp-12mo	7.9983379501385
WN2001	q25.temp-12mo	8.86883656509695
WN2001	mean.temp-12mo	10.9283755719234
WN2001	median.temp-12mo	10.8671745152355
WN2001	q75.temp-12mo	12.9125346260388
WN2001	q90.temp-12mo	13.9795567867036
WN2001	max.temp-12mo	14.714404432133
WN2002	min.temp-12mo	6.13575418994413
WN2002	q10.temp-12mo	7.04748603351955
WN2002	q25.temp-12mo	8.14741620111732
WN2002	mean.temp-12mo	10.1142876199802
WN2002	median.temp-12mo	10.1231843575419
WN2002	q75.temp-12mo	12.1041899441341
WN2002	q90.temp-12mo	13.1402793296089
WN2002	max.temp-12mo	13.972625698324
WN2033	min.temp-12mo	6.2733137829912
WN2033	q10.temp-12mo	7.24454545454546
WN2033	q25.temp-12mo	8.25425219941349
WN2033	mean.temp-12mo	10.3980244161083
WN2033	median.temp-12mo	10.4203812316716
WN2033	q75.temp-12mo	12.5102639296188
WN2033	q90.temp-12mo	13.5481524926686
WN2033	max.temp-12mo	14.292082111437
WN2050	min.temp-12mo	6.29589442815249
WN2050	q10.temp-12mo	7.27950146627566
WN2050	q25.temp-12mo	8.29457478005865
WN2050	mean.temp-12mo	10.4494000105436
WN2050	median.temp-12mo	10.4648093841642
WN2050	q75.temp-12mo	12.5778592375367
WN2050	q90.temp-12mo	13.6179472140762
WN2050	max.temp-12mo	14.3671554252199
XZ1513	min.temp-12mo	20.8648199445983
XZ1513	q10.temp-12mo	21.5662049861496
XZ1513	q25.temp-12mo	22.4885041551247
XZ1513	mean.temp-12mo	24.4529560808228
XZ1513	median.temp-12mo	24.5720221606648
XZ1513	q75.temp-12mo	26.4002770083102
XZ1513	q90.temp-12mo	27.1791135734072
XZ1513	max.temp-12mo	27.7432132963989
XZ1514	min.temp-12mo	20.8861495844875
XZ1514	q10.temp-12mo	21.5878947368421
XZ1514	q25.temp-12mo	22.503324099723
XZ1514	mean.temp-12mo	24.4589289163497
XZ1514	median.temp-12mo	24.5818559556787
XZ1514	q75.temp-12mo	26.3987534626039
XZ1514	q90.temp-12mo	27.171135734072
XZ1514	max.temp-12mo	27.7385041551247
XZ1515	min.temp-12mo	20.8861495844875
XZ1515	q10.temp-12mo	21.5878947368421
XZ1515	q25.temp-12mo	22.503324099723
XZ1515	mean.temp-12mo	24.4589289163497
XZ1515	median.temp-12mo	24.5818559556787
XZ1515	q75.temp-12mo	26.3987534626039
XZ1515	q90.temp-12mo	27.171135734072
XZ1515	max.temp-12mo	27.7385041551247
XZ1516	min.temp-12mo	20.8861495844875
XZ1516	q10.temp-12mo	21.5878947368421
XZ1516	q25.temp-12mo	22.503324099723
XZ1516	mean.temp-12mo	24.4589289163497
XZ1516	median.temp-12mo	24.5818559556787
XZ1516	q75.temp-12mo	26.3987534626039
XZ1516	q90.temp-12mo	27.171135734072
XZ1516	max.temp-12mo	27.7385041551247
XZ1672	min.temp-12mo	10.1614958448753
XZ1672	q10.temp-12mo	10.8759002770083
XZ1672	q25.temp-12mo	11.7784626038781
XZ1672	mean.temp-12mo	14.030259086941
XZ1672	median.temp-12mo	13.8850415512465
XZ1672	q75.temp-12mo	16.2124653739612
XZ1672	q90.temp-12mo	17.518781163434902
XZ1672	max.temp-12mo	18.2138504155125
XZ1734	min.temp-12mo	17.8724637681159
XZ1734	q10.temp-12mo	18.744347826087
XZ1734	q25.temp-12mo	20.1557971014493
XZ1734	mean.temp-12mo	22.1882856421689
XZ1734	median.temp-12mo	22.0565217391304
XZ1734	q75.temp-12mo	24.4427536231884
XZ1734	q90.temp-12mo	25.6968115942029
XZ1734	max.temp-12mo	26.431884057971
XZ1735	min.temp-12mo	17.983379501385
XZ1735	q10.temp-12mo	18.4639889196676
XZ1735	q25.temp-12mo	19.3005540166205
XZ1735	mean.temp-12mo	22.3168273693357
XZ1735	median.temp-12mo	21.6814404432133
XZ1735	q75.temp-12mo	25.2950138504155
XZ1735	q90.temp-12mo	27.0722991689751
XZ1735	max.temp-12mo	27.8864265927978
XZ1756	min.temp-12mo	10.0390581717452
XZ1756	q10.temp-12mo	10.7281440443213
XZ1756	q25.temp-12mo	11.6095567867036
XZ1756	mean.temp-12mo	13.8656958220741
XZ1756	median.temp-12mo	13.6972299168975
XZ1756	q75.temp-12mo	16.0196675900277
XZ1756	q90.temp-12mo	17.3454847645429
XZ1756	max.temp-12mo	18.0778393351801
ECA592	min.temp-12mo	10.9637119113573
ECA592	q10.temp-12mo	11.8413296398892
ECA592	q25.temp-12mo	12.9622576177285
ECA592	mean.temp-12mo	15.5560799517244
ECA592	median.temp-12mo	15.103324099723
ECA592	q75.temp-12mo	18.2189058171745
ECA592	q90.temp-12mo	19.7551800554017
ECA592	max.temp-12mo	20.8024930747922
ECA593	min.temp-12mo	10.9637119113573
ECA593	q10.temp-12mo	11.8413296398892
ECA593	q25.temp-12mo	12.9622576177285
ECA593	mean.temp-12mo	15.5560799517244
ECA593	median.temp-12mo	15.103324099723
ECA593	q75.temp-12mo	18.2189058171745
ECA593	q90.temp-12mo	19.7551800554017
ECA593	max.temp-12mo	20.8024930747922
ECA594	min.temp-12mo	10.9637119113573
ECA594	q10.temp-12mo	11.8413296398892
ECA594	q25.temp-12mo	12.9622576177285
ECA594	mean.temp-12mo	15.5560799517244
ECA594	median.temp-12mo	15.103324099723
ECA594	q75.temp-12mo	18.2189058171745
ECA594	q90.temp-12mo	19.7551800554017
ECA594	max.temp-12mo	20.8024930747922
ECA640	min.temp-12mo	14.1883656509695
ECA640	q10.temp-12mo	14.7736011080332
ECA640	q25.temp-12mo	15.570567867036
ECA640	mean.temp-12mo	17.4747996874823
ECA640	median.temp-12mo	17.1108033240997
ECA640	q75.temp-12mo	19.3990997229917
ECA640	q90.temp-12mo	20.5683933518006
ECA640	max.temp-12mo	21.5412742382271
JU3166	min.temp-12mo	24.5847457627119
JU3166	q10.temp-12mo	25.3556497175141
JU3166	q25.temp-12mo	26.2881355932203
JU3166	mean.temp-12mo	27.596974721011
JU3166	median.temp-12mo	27.7005649717514
JU3166	q75.temp-12mo	28.9675141242938
JU3166	q90.temp-12mo	29.6553672316384
JU3166	max.temp-12mo	30.2584745762712
JU3167	min.temp-12mo	24.5819209039548
JU3167	q10.temp-12mo	25.3579096045198
JU3167	q25.temp-12mo	26.2937853107345
JU3167	mean.temp-12mo	27.5960331014253
JU3167	median.temp-12mo	27.7033898305085
JU3167	q75.temp-12mo	28.9604519774011
JU3167	q90.temp-12mo	29.6497175141243
JU3167	max.temp-12mo	30.2528248587571
JU3169	min.temp-12mo	24.5819209039548
JU3169	q10.temp-12mo	25.3579096045198
JU3169	q25.temp-12mo	26.2937853107345
JU3169	mean.temp-12mo	27.5960331014253
JU3169	median.temp-12mo	27.7033898305085
JU3169	q75.temp-12mo	28.9604519774011
JU3169	q90.temp-12mo	29.6497175141243
JU3169	max.temp-12mo	30.2528248587571
JU3224	min.temp-12mo	11.1779661016949
JU3224	q10.temp-12mo	11.7887005649718
JU3224	q25.temp-12mo	12.4357344632768
JU3224	mean.temp-12mo	13.6889850446483
JU3224	median.temp-12mo	13.7824858757062
JU3224	q75.temp-12mo	14.8580508474576
JU3224	q90.temp-12mo	15.5940677966102
JU3224	max.temp-12mo	16.2570621468927
JU3225	min.temp-12mo	11.1756373937677
JU3225	q10.temp-12mo	11.7881019830028
JU3225	q25.temp-12mo	12.4313031161473
JU3225	mean.temp-12mo	13.6863334442082
JU3225	median.temp-12mo	13.7818696883853
JU3225	q75.temp-12mo	14.8541076487252
JU3225	q90.temp-12mo	15.5900849858357
JU3225	max.temp-12mo	16.2521246458924
JU3226	min.temp-12mo	11.1761363636364
JU3226	q10.temp-12mo	11.7875
JU3226	q25.temp-12mo	12.4325284090909
JU3226	mean.temp-12mo	13.6859158308868
JU3226	median.temp-12mo	13.78125
JU3226	q75.temp-12mo	14.8536931818182
JU3226	q90.temp-12mo	15.5889204545455
JU3226	max.temp-12mo	16.25
JU3228	min.temp-12mo	8.36448863636364
JU3228	q10.temp-12mo	9.03607954545455
JU3228	q25.temp-12mo	9.9727272727272709
JU3228	mean.temp-12mo	12.045087594697
JU3228	median.temp-12mo	11.9305397727273
JU3228	q75.temp-12mo	14.0025568181818
JU3228	q90.temp-12mo	15.2223863636364
JU3228	max.temp-12mo	16.0446022727273
QG2811	min.temp-12mo	6.23087818696884
QG2811	q10.temp-12mo	7.52232294617564
QG2811	q25.temp-12mo	8.86097733711048
QG2811	mean.temp-12mo	12.9455466898363
QG2811	median.temp-12mo	12.3902266288952
QG2811	q75.temp-12mo	16.9462464589235
QG2811	q90.temp-12mo	19.5308781869688
QG2811	max.temp-12mo	20.8220963172805
QG2813	min.temp-12mo	12.2740223463687
QG2813	q10.temp-12mo	13.1952234636872
QG2813	q25.temp-12mo	14.409217877095
QG2813	mean.temp-12mo	17.3886708566108
QG2813	median.temp-12mo	17.2717877094972
QG2813	q75.temp-12mo	20.3064245810056
QG2813	q90.temp-12mo	21.8688826815642
QG2813	max.temp-12mo	22.6667597765363
QG2818	min.temp-12mo	11.2571022727273
QG2818	q10.temp-12mo	12.0413068181818
QG2818	q25.temp-12mo	13.4650568181818
QG2818	mean.temp-12mo	17.5349837662338
QG2818	median.temp-12mo	17.1893465909091
QG2818	q75.temp-12mo	21.1708096590909
QG2818	q90.temp-12mo	23.6515625
QG2818	max.temp-12mo	24.7440340909091
QG2823	min.temp-12mo	14.4443037974684
QG2823	q10.temp-12mo	14.4443037974684
QG2823	q25.temp-12mo	14.4443037974684
QG2823	mean.temp-12mo	14.4443037974684
QG2823	median.temp-12mo	14.4443037974684
QG2823	q75.temp-12mo	14.4443037974684
QG2823	q90.temp-12mo	14.4443037974684
QG2823	max.temp-12mo	14.4443037974684
QG2824	min.temp-12mo	14.4443037974684
QG2824	q10.temp-12mo	14.4443037974684
QG2824	q25.temp-12mo	14.4443037974684
QG2824	mean.temp-12mo	14.4443037974684
QG2824	median.temp-12mo	14.4443037974684
QG2824	q75.temp-12mo	14.4443037974684
QG2824	q90.temp-12mo	14.4443037974684
QG2824	max.temp-12mo	14.4443037974684
QG2825	min.temp-12mo	14.4443037974684
QG2825	q10.temp-12mo	14.4443037974684
QG2825	q25.temp-12mo	14.4443037974684
QG2825	mean.temp-12mo	14.4443037974684
QG2825	median.temp-12mo	14.4443037974684
QG2825	q75.temp-12mo	14.4443037974684
QG2825	q90.temp-12mo	14.4443037974684
QG2825	max.temp-12mo	14.4443037974684
QG2827	min.temp-12mo	13.25
QG2827	q10.temp-12mo	14.1223579545455
QG2827	q25.temp-12mo	15.3936789772727
QG2827	mean.temp-12mo	18.4893780745769
QG2827	median.temp-12mo	18.1815340909091
QG2827	q75.temp-12mo	21.5628551136364
QG2827	q90.temp-12mo	23.3337784090909
QG2827	max.temp-12mo	24.2085227272727
QG2828	min.temp-12mo	13.25
QG2828	q10.temp-12mo	14.1223579545455
QG2828	q25.temp-12mo	15.3936789772727
QG2828	mean.temp-12mo	18.4893780745769
QG2828	median.temp-12mo	18.1815340909091
QG2828	q75.temp-12mo	21.5628551136364
QG2828	q90.temp-12mo	23.3337784090909
QG2828	max.temp-12mo	24.2085227272727
QG2832	min.temp-12mo	16.5380681818182
QG2832	q10.temp-12mo	17.5126704545455
QG2832	q25.temp-12mo	18.5423295454545
QG2832	mean.temp-12mo	20.9096758182228
QG2832	median.temp-12mo	20.7892045454545
QG2832	q75.temp-12mo	23.234375
QG2832	q90.temp-12mo	24.5505681818182
QG2832	max.temp-12mo	25.3852272727273
QG2835	min.temp-12mo	17.4911931818182
QG2835	q10.temp-12mo	18.0668465909091
QG2835	q25.temp-12mo	18.8798295454545
QG2835	mean.temp-12mo	21.4246141098485
QG2835	median.temp-12mo	21.2005681818182
QG2835	q75.temp-12mo	23.4789772727273
QG2835	q90.temp-12mo	25.3768181818182
QG2835	max.temp-12mo	26.096875
QG2836	min.temp-12mo	17.4931818181818
QG2836	q10.temp-12mo	18.0652556818182
QG2836	q25.temp-12mo	18.8760653409091
QG2836	mean.temp-12mo	21.4205658143939
QG2836	median.temp-12mo	21.1946022727273
QG2836	q75.temp-12mo	23.4741477272727
QG2836	q90.temp-12mo	25.3717329545455
QG2836	max.temp-12mo	26.0911931818182
QG2837	min.temp-12mo	17.4883522727273
QG2837	q10.temp-12mo	18.0594318181818
QG2837	q25.temp-12mo	18.8691761363636
QG2837	mean.temp-12mo	21.4116879734848
QG2837	median.temp-12mo	21.1892045454545
QG2837	q75.temp-12mo	23.4625710227273
QG2837	q90.temp-12mo	25.3555113636364
QG2837	max.temp-12mo	26.0755681818182
QG2838	min.temp-12mo	16.5411931818182
QG2838	q10.temp-12mo	17.5135511363636
QG2838	q25.temp-12mo	18.5387073863636
QG2838	mean.temp-12mo	20.903756497492
QG2838	median.temp-12mo	20.7822443181818
QG2838	q75.temp-12mo	23.2274147727273
QG2838	q90.temp-12mo	24.5395738636364
QG2838	max.temp-12mo	25.3713068181818
QG2841	min.temp-12mo	NA
QG2841	q10.temp-12mo	20.9384615384615
QG2841	q25.temp-12mo	21.36875
QG2841	mean.temp-12mo	22.0858974358974
QG2841	median.temp-12mo	22.0858974358974
QG2841	q75.temp-12mo	22.8030448717949
QG2841	q90.temp-12mo	23.2333333333333
QG2841	max.temp-12mo	NA
QG2843	min.temp-12mo	NA
QG2843	q10.temp-12mo	20.9171474358974
QG2843	q25.temp-12mo	21.3548878205128
QG2843	mean.temp-12mo	22.0844551282051
QG2843	median.temp-12mo	22.0844551282051
QG2843	q75.temp-12mo	22.8140224358974
QG2843	q90.temp-12mo	23.2517628205128
QG2843	max.temp-12mo	NA
QG2846	min.temp-12mo	NA
QG2846	q10.temp-12mo	20.9384615384615
QG2846	q25.temp-12mo	21.36875
QG2846	mean.temp-12mo	22.0858974358974
QG2846	median.temp-12mo	22.0858974358974
QG2846	q75.temp-12mo	22.8030448717949
QG2846	q90.temp-12mo	23.2333333333333
QG2846	max.temp-12mo	NA
QG2850	min.temp-12mo	11.3215909090909
QG2850	q10.temp-12mo	12.1057954545455
QG2850	q25.temp-12mo	13.4926846590909
QG2850	mean.temp-12mo	17.4272980925325
QG2850	median.temp-12mo	17.1177556818182
QG2850	q75.temp-12mo	20.9102272727273
QG2850	q90.temp-12mo	23.3426704545455
QG2850	max.temp-12mo	24.4289772727273
QG2854	min.temp-12mo	11.3215909090909
QG2854	q10.temp-12mo	12.1057954545455
QG2854	q25.temp-12mo	13.4926846590909
QG2854	mean.temp-12mo	17.4272980925325
QG2854	median.temp-12mo	17.1177556818182
QG2854	q75.temp-12mo	20.9102272727273
QG2854	q90.temp-12mo	23.3426704545455
QG2854	max.temp-12mo	24.4289772727273
QG2855	min.temp-12mo	11.3215909090909
QG2855	q10.temp-12mo	12.1057954545455
QG2855	q25.temp-12mo	13.4926846590909
QG2855	mean.temp-12mo	17.4272980925325
QG2855	median.temp-12mo	17.1177556818182
QG2855	q75.temp-12mo	20.9102272727273
QG2855	q90.temp-12mo	23.3426704545455
QG2855	max.temp-12mo	24.4289772727273
QG2857	min.temp-12mo	11.325
QG2857	q10.temp-12mo	12.1024431818182
QG2857	q25.temp-12mo	13.4857954545455
QG2857	mean.temp-12mo	17.4091162743506
QG2857	median.temp-12mo	17.0957386363636
QG2857	q75.temp-12mo	20.8834517045455
QG2857	q90.temp-12mo	23.3124431818182
QG2857	max.temp-12mo	24.3911931818182
QG2873	min.temp-12mo	13.8755681818182
QG2873	q10.temp-12mo	14.6552840909091
QG2873	q25.temp-12mo	15.8740056818182
QG2873	mean.temp-12mo	19.8417157061688
QG2873	median.temp-12mo	19.4035511363636
QG2873	q75.temp-12mo	23.1566761363636
QG2873	q90.temp-12mo	25.9074715909091
QG2873	max.temp-12mo	27.0590909090909
QG2874	min.temp-12mo	13.8889204545455
QG2874	q10.temp-12mo	14.6694318181818
QG2874	q25.temp-12mo	15.8857244318182
QG2874	mean.temp-12mo	19.8553875811688
QG2874	median.temp-12mo	19.4132102272727
QG2874	q75.temp-12mo	23.1761363636364
QG2874	q90.temp-12mo	25.9229261363636
QG2874	max.temp-12mo	27.0741477272727
QG2875	min.temp-12mo	13.88125
QG2875	q10.temp-12mo	14.6609659090909
QG2875	q25.temp-12mo	15.8796875
QG2875	mean.temp-12mo	19.8503449675325
QG2875	median.temp-12mo	19.4106534090909
QG2875	q75.temp-12mo	23.1723011363636
QG2875	q90.temp-12mo	25.9186647727273
QG2875	max.temp-12mo	27.0678977272727
QG2877	min.temp-12mo	13.8889204545455
QG2877	q10.temp-12mo	14.6694318181818
QG2877	q25.temp-12mo	15.8857244318182
QG2877	mean.temp-12mo	19.8553875811688
QG2877	median.temp-12mo	19.4132102272727
QG2877	q75.temp-12mo	23.1761363636364
QG2877	q90.temp-12mo	25.9229261363636
QG2877	max.temp-12mo	27.0741477272727
WN2063	min.temp-12mo	6.00803324099723
WN2063	q10.temp-12mo	6.98667590027701
WN2063	q25.temp-12mo	8.04937673130194
WN2063	mean.temp-12mo	10.4215939182081
WN2063	median.temp-12mo	10.3869806094183
WN2063	q75.temp-12mo	12.7726454293629
WN2063	q90.temp-12mo	13.8915512465374
WN2063	max.temp-12mo	14.6551246537396
WN2064	min.temp-12mo	6.00803324099723
WN2064	q10.temp-12mo	6.98667590027701
WN2064	q25.temp-12mo	8.04937673130194
WN2064	mean.temp-12mo	10.4215939182081
WN2064	median.temp-12mo	10.3869806094183
WN2064	q75.temp-12mo	12.7726454293629
WN2064	q90.temp-12mo	13.8915512465374
WN2064	max.temp-12mo	14.6551246537396
WN2066	min.temp-12mo	6.00803324099723
WN2066	q10.temp-12mo	6.98667590027701
WN2066	q25.temp-12mo	8.04937673130194
WN2066	mean.temp-12mo	10.4215939182081
WN2066	median.temp-12mo	10.3869806094183
WN2066	q75.temp-12mo	12.7726454293629
WN2066	q90.temp-12mo	13.8915512465374
WN2066	max.temp-12mo	14.6551246537396
XZ2019	min.temp-12mo	8.46288088642659
XZ2019	q10.temp-12mo	9.09027700831025
XZ2019	q25.temp-12mo	9.926108033241
XZ2019	mean.temp-12mo	11.9408603723406
XZ2019	median.temp-12mo	11.7728531855956
XZ2019	q75.temp-12mo	13.8195290858726
XZ2019	q90.temp-12mo	15.10108033241
XZ2019	max.temp-12mo	15.8606648199446
XZ2020	min.temp-12mo	4.49778393351801
XZ2020	q10.temp-12mo	5.83786703601108
XZ2020	q25.temp-12mo	7.96447368421053
XZ2020	mean.temp-12mo	11.4784504842315
XZ2020	median.temp-12mo	11.3116343490305
XZ2020	q75.temp-12mo	15.2594182825485
XZ2020	q90.temp-12mo	17.024432132964
XZ2020	max.temp-12mo	17.8407202216066
ECA701	min.temp-12mo	NA
ECA701	q10.temp-12mo	22.8577272727273
ECA701	q25.temp-12mo	23.7401515151515
ECA701	mean.temp-12mo	25.8495911972701
ECA701	median.temp-12mo	25.9204545454545
ECA701	q75.temp-12mo	27.8632575757576
ECA701	q90.temp-12mo	28.8107954545455
ECA701	max.temp-12mo	NA
ECA703	min.temp-12mo	7.85260115606936
ECA703	q10.temp-12mo	9.13632947976879
ECA703	q25.temp-12mo	10.9348265895954
ECA703	mean.temp-12mo	14.4240785167027
ECA703	median.temp-12mo	13.9342485549133
ECA703	q75.temp-12mo	18.0868497109827
ECA703	q90.temp-12mo	20.1672832369942
ECA703	max.temp-12mo	21.5054913294798
ECA705	min.temp-12mo	7.85260115606936
ECA705	q10.temp-12mo	9.13632947976879
ECA705	q25.temp-12mo	10.9348265895954
ECA705	mean.temp-12mo	14.4240785167027
ECA705	median.temp-12mo	13.9342485549133
ECA705	q75.temp-12mo	18.0868497109827
ECA705	q90.temp-12mo	20.1672832369942
ECA705	max.temp-12mo	21.5054913294798
ECA706	min.temp-12mo	7.85260115606936
ECA706	q10.temp-12mo	9.13632947976879
ECA706	q25.temp-12mo	10.9348265895954
ECA706	mean.temp-12mo	14.4240785167027
ECA706	median.temp-12mo	13.9342485549133
ECA706	q75.temp-12mo	18.0868497109827
ECA706	q90.temp-12mo	20.1672832369942
ECA706	max.temp-12mo	21.5054913294798
ECA710	min.temp-12mo	7.85260115606936
ECA710	q10.temp-12mo	9.13632947976879
ECA710	q25.temp-12mo	10.9348265895954
ECA710	mean.temp-12mo	14.4240785167027
ECA710	median.temp-12mo	13.9342485549133
ECA710	q75.temp-12mo	18.0868497109827
ECA710	q90.temp-12mo	20.1672832369942
ECA710	max.temp-12mo	21.5054913294798
ECA712	min.temp-12mo	17.8310249307479
ECA712	q10.temp-12mo	18.4049861495845
ECA712	q25.temp-12mo	19.0904432132964
ECA712	mean.temp-12mo	21.4051531110005
ECA712	median.temp-12mo	20.8196675900277
ECA712	q75.temp-12mo	23.8137119113573
ECA712	q90.temp-12mo	24.9287257617729
ECA712	max.temp-12mo	25.8839335180055
ECA722	min.temp-12mo	17.8310249307479
ECA722	q10.temp-12mo	18.4049861495845
ECA722	q25.temp-12mo	19.0904432132964
ECA722	mean.temp-12mo	21.4051531110005
ECA722	median.temp-12mo	20.8196675900277
ECA722	q75.temp-12mo	23.8137119113573
ECA722	q90.temp-12mo	24.9287257617729
ECA722	max.temp-12mo	25.8839335180055
ECA723	min.temp-12mo	17.8310249307479
ECA723	q10.temp-12mo	18.4049861495845
ECA723	q25.temp-12mo	19.0904432132964
ECA723	mean.temp-12mo	21.4051531110005
ECA723	median.temp-12mo	20.8196675900277
ECA723	q75.temp-12mo	23.8137119113573
ECA723	q90.temp-12mo	24.9287257617729
ECA723	max.temp-12mo	25.8839335180055
ECA724	min.temp-12mo	3.44016620498615
ECA724	q10.temp-12mo	4.36703601108033
ECA724	q25.temp-12mo	5.13365650969529
ECA724	mean.temp-12mo	7.44726439011521
ECA724	median.temp-12mo	7.09792243767313
ECA724	q75.temp-12mo	9.73628808864266
ECA724	q90.temp-12mo	10.9447922437673
ECA724	max.temp-12mo	12.2459833795014
