isotype	I	II	III	IV	V	X	I_hapshare	II_hapshare	III_hapshare	IV_hapshare	V_hapshare	X_hapshare	swept_chroms
AB1	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.8808321106888334	0.793645177501884	0.6544312590209055	0.7213805356658372	0.8681837586051776	0.7664832495373755	4
BRC20067	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.532372476510629	0.2964344979751087	0.30035223597930105	1	0.9240268429028465	1	4
BRC20263	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5894645605106452	0.15719519288425043	0.06300263220393659	0.8607934719065897	0.608926810926513	0.7311147454680106	4
CB4851	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	1	0.9327480054897768	0.8983700491161283	0.0904735645058715	0.9028565588357362	0.30572604643518114	3
CB4852	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.9946470082410551	0.6893358785449534	0.7527499172467261	0.9750739801201433	0.9240268429028465	0.598365240727064	4
CB4853	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7571455959628027	0.0695189834665958	0.1361980572094311	0.9914166891995561	0.9240268429028465	0.6095971267113204	4
CB4854	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7278267326933487	0.21213066990713983	0.09444735152857404	0.8672393690057068	0.9240268429028465	0.662581333283863	4
CB4855	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6055939585146962	0.031522210254880334	0.11177917977728533	0.588737786657915	0.8600448108666352	0.6833447148933359	4
CB4856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.034602695787317776	0.010618062892138033	0.025757088083826252	0.0617539348846511	0.02999046257788552	0.03430491170967396	0
CB4857	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6964777132018142	0.10128102878420805	0.13879555523253725	0.9459918175223546	0.9240268429028465	0.3262294827915224	4
CB4858	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6090668164052901	0.03058470896372562	0.13879555523253725	0.9459918175223546	0.9240268429028465	0.7540815533550075	4
CB4932	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.9078740389442337	0.31961101205608955	0.8479343701011024	0.302598070817718	0.8630213933436235	0.2762907531772312	4
CX11254	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7060203584855962	0.10029112710609059	0.07408180532320463	0.8721430532305972	0.5276150983006822	0.38711741641114245	4
CX11262	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.3155351139754268	0.0633473459007256	0.06157918150532035	0.9321477364021179	0.3242937778531512	0.4968321293237815	4
CX11264	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	0.6431544088450946	0.01853196413767359	0.09728278109666184	0.8571364355560509	0.3163687549421992	0.07917018416634777	3
CX11271	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5989406400248867	0.16899865877307413	0.16172621695595885	0.8142284245577075	0.9006242893683138	0.7540815533550075	4
CX11276	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7077573859243256	0.06463748408887499	0.12020088189323518	0.9459918175223546	0.9138630940407421	0.5350026237729096	4
CX11285	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.68015067936652	0.07630807991013104	0.1625760761973413	0.6411432098714467	0.5257315746062956	0.47521821318067226	4
CX11292	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6090668164052901	0.2237017115514128	0.13879555523253725	0.9459918175223546	0.9240268429028465	0.7461927578890499	4
CX11307	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.40806692007765255	0.10723447349973396	0.058671653669253664	0.9731289273450202	0.46764957305425253	0.2971307156989626	4
CX11314	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6090668164052901	0.02309486391606389	0.08975348563904877	0.9459918175223546	0.36779240003952324	0.7540815533550075	4
CX11315	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6785199177616824	0.01853196413767359	0.1140261335528567	0.8571364355560509	0.8232394101471247	0.664605128115794	4
DL200	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	0.7841765518386083	0.27002712949696484	0.3142817230019395	0.8075279000746051	0.8351903137057184	0.050292675957654485	3
DL226	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.3788652950216851	0.1325300225033101	0.06853219906469742	0.8685529848567516	0.8520281537125212	0.6215169400484575	4
DL238	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.031164816512885996	0.0036530087036452503	0.01632027430159976	0.024291028148796422	0.05510852775240619	0.0322519889827555	0
ECA189	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.35164521522123077	0.01840821003229346	0.0943692995264821	0.08470388343168682	0.29828165707233184	0.15878175492004082	3
