isotype	I	II	III	IV	V	X	I_hapshare	II_hapshare	III_hapshare	IV_hapshare	V_hapshare	X_hapshare	swept_chroms
AB1	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7098245157406765	0.21746911760510476	0.2698219924229401	0.5353748410640957	0.8672473293352873	0.7645466157402151	4
BRC20067	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.34461790483542126	0.3424750447032729	0.7814156555467575	0.8938118967129034	1	1	4
BRC20263	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5133971757360921	0.32178315969586363	0.23531884698835046	0.7135506897322332	0.4839043208415199	0.699286929629358	4
CB4851	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.43735978213243076	0.18168826710012911	0.16279751062295314	0.023895394748685485	0.7874900032110246	0.22911964988394873	3
CB4852	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.834163521306599	0.185030527424839	0.19636511250862995	0.8673972052047847	1	0.593610653893713	4
CB4853	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7580946735480998	0.2439509659284492	0.22615413857408226	0.8850693183560263	1	0.5138664338751324	4
CB4854	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5471843244728154	0.7577526280081048	0.02677459372953317	0.7532785600467271	1	0.6547808390971985	4
CB4855	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6138791025976676	0.01884466346379289	0.08617688631983354	0.3394892127683507	0.6529905906553924	0.5883023386658112	4
CB4856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	7.366981324803996e-4	0	1.1477669053968321e-4	0.020690686890478045	0.015292772825231643	0
CB4857	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.342103101931611	0.16578442807847577	0.22952728312660456	0.8938118967129034	1	0.2253275754616354	4
CB4858	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6138791025976676	0.021098436393792795	0.22615413857408226	0.8938118967129034	1	0.6242492628755738	4
CB4932	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.423535514833028	0.14886588296711026	0.11198236853527856	0.1364295253347472	0.8099766925719925	0.1790240141305896	3
CX11254	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.2364075657815769	0.29142336598183405	0.012646549234977355	0.8178704325957545	0.4242824240069474	0.28419140289084727	4
CX11262	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	0.012505653269213851	0.07000894885250396	8.663005384970067e-4	0.8052148978539052	0.2744307844379038	0.3633611571317372	3
CX11264	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	0.5571147270015433	0.012881822352325078	0.04604296902984657	0.7112416258020752	0.26088316853995563	0.05323384760970079	3
CX11271	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.663598080006469	0.13698624027849327	0.22421468036104017	0.7513126222368888	0.9038514790656407	0.6242492628755738	4
CX11276	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7587151117397213	0.022746087705312876	0.2253536661231369	0.8938118967129034	0.8169074169885104	0.4779691185002728	4
